ANO,RODADA,MITO_TIME_ID,MITO_NOME_TIME,MITO_PONTOS,MITO_PONTOS_CAMPEONATO,ATLETA_ID,APELIDO,NOME,POSICAO_ID,CLUBE_ID,PRECO,PONTOS_ATLETA,SCOUTS,CAPITAO,RESERVA,TECNICO,ESQUEMA_ID,PATRIMONIO,VALOR_TIME,FONTE,CAPTURADO_EM,RAW_JSON_ATLETA
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,111246,Alix Vinicius,Alix Vinicius de Souza Sampaio,3,280,6.35,9.7,"{""DS"":3,""FC"":2,""FF"":1,""SG"":1}",NAO,NAO,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,141451,Allan,Allan Andrade Elias,4,275,15.04,18.1,"{""A"":1,""DS"":4,""FC"":3,""G"":1}",NAO,NAO,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,103445,Kaio Jorge,Kaio Jorge Pinto Ramos,5,283,12.24,9.7,"{""FC"":1,""FD"":1,""FF"":1,""G"":1}",NAO,NAO,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,72018,Tiago Volpi,Tiago Luis Volpi,1,280,10.98,12.8,"{""DE"":6,""SG"":1}",NAO,NAO,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,143193,Viveros,Kevin Stiven Viveros Rodallega,5,293,13.9,17.4,"{""FC"":3,""FD"":2,""G"":2,""I"":1}",NAO,NAO,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,94968,Juninho Capixaba,Luis Antônio da Rocha Júnior,2,280,14.26,12.3,"{""CA"":1,""DS"":4,""FC"":2,""FD"":2,""FS"":1,""SG"":1}",NAO,NAO,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,96610,Matheus Pereira,Matheus Fellipe Costa Pereira,4,283,14.19,8.1,"{""FD"":1,""FF"":3,""FS"":7,""PS"":1}",NAO,NAO,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,39850,Vagner Mancini,Vagner Carmo Mancini,6,280,9.35,10.21,"{""V"":1}",NAO,NAO,SIM,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,105213,Sant'Anna,Ariel Agustín Sant'Anna Quintero,2,280,9.27,6.4,"{""FC"":1,""FD"":1,""FS"":1,""SG"":1}",NAO,NAO,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,104502,Christian,Christian Roberto Alves Cardoso,4,283,9.84,6.2,"{""A"":1,""DS"":1,""FC"":1}",NAO,NAO,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,110750,Gustavo Marques,Gustavo Marques Alves dos Santos,3,280,7.88,6.5,"{""DS"":1,""SG"":1}",NAO,NAO,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,108133,Isidro Pitta,Isidro Miguel Pitta Saldívar,5,280,7.41,15.5,"{""A"":1,""FC"":1,""FD"":1,""FF"":2,""G"":1}",SIM,NAO,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,137542,Kaique Kenji,Kaique Kenji Takamura Correa,5,283,2.88,1.9,"{""CA"":1,""FC"":1,""FD"":2,""FF"":1}",NAO,SIM,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,93882,Cleiton,Cleiton Schwengber,1,280,6.19,0,{},NAO,SIM,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,110715,Andrés Hurtado,José Andrés Hurtado Cheme,2,280,5.62,0,{},NAO,SIM,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,122897,Guzmán Rodríguez,Guzmán Rodríguez Ferrari,3,280,6,0,{},NAO,SIM,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
2026,17,45146407,UAIFA 06,140.66015625,1036.9765625,94154,Maycon,Maycon de Andrade Barberan,4,282,6.1,2.7,"{""DS"":2,""FC"":1}",NAO,SIM,NAO,3,150.36,0,https://api.cartolafc.globo.com/time/id/45146407/17,2026-08-30T13:04:13Z,
