ANO,RODADA,MITO_TIME_ID,MITO_NOME_TIME,MITO_PONTOS,MITO_PONTOS_CAMPEONATO,ATLETA_ID,APELIDO,NOME,POSICAO_ID,CLUBE_ID,PRECO,PONTOS_ATLETA,SCOUTS,CAPITAO,RESERVA,TECNICO,ESQUEMA_ID,PATRIMONIO,VALOR_TIME,FONTE,CAPTURADO_EM,RAW_JSON_ATLETA
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,97095,Carlos Cuesta,Carlos Eccehomo Cuesta Figueroa,3,267,6.94,8.5,"{""FS"":1,""FT"":1,""SG"":1}",NAO,NAO,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,109096,Plata,Gonzalo Jordy Plata Jiménez,5,262,12.32,8.5,"{""DS"":3,""FS"":2,""FT"":1}",NAO,NAO,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,117330,Robert Renan,Robert Renan Alves Barbosa,3,267,5.88,6.4,"{""CA"":1,""DS"":2,""FC"":2,""SG"":1}",NAO,NAO,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,117632,Garro,Rodrigo Garro,4,264,12.24,15.6,"{""A"":2,""DS"":3,""FC"":4,""FF"":1,""FS"":3}",NAO,NAO,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,105584,Lucas Piton,Lucas Piton Crivellaro,2,267,6.99,14,"{""DS"":6,""SG"":1}",NAO,NAO,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,110759,John Kennedy,John Kennedy Batista de Souza,5,266,11.92,18,"{""A"":1,""DS"":2,""FD"":1,""FF"":1,""G"":1}",NAO,NAO,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,87008,Léo Jardim,Leonardo César Jardim,1,267,7.22,8.9,"{""DE"":3,""SG"":1}",NAO,NAO,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,99213,Puma Rodríguez,José Luis Rodríguez Bebanz,2,267,9.67,13,"{""A"":1,""DS"":2,""SG"":1}",NAO,NAO,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,41929,Renato Gaúcho,Renato Portaluppi,6,267,10.92,9.55,"{""V"":1}",NAO,NAO,SIM,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,63007,Neymar,Neymar da Silva Santos Júnior,4,277,20.32,10.5,"{""CA"":1,""FC"":2,""FF"":2,""FS"":5,""G"":1}",NAO,NAO,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,107231,Danilo,Danilo dos Santos de Oliveira,4,263,15.14,2,"{""FD"":1,""FF"":1}",NAO,NAO,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,100652,Yuri Alberto,Yuri Alberto Monteiro da Silva,5,264,11.04,6.5,"{""DS"":1,""FC"":1,""FD"":2,""FF"":3,""FS"":1}",SIM,NAO,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,95936,Daniel Fuzato,Daniel Cerântula Fuzato,1,267,2,0,{},NAO,SIM,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,118655,Saldivia,Alan Gabriel Saldivia Vázquez,3,267,5.08,0,{},NAO,SIM,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,116065,Cuiabano,Luís Eduardo Soares da Silva,2,267,11.94,0,{},NAO,SIM,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,113103,Flaco López,José Manuel Alberto López,5,275,14.1,4.4,"{""FC"":1,""FD"":2,""FF"":3,""I"":1}",NAO,SIM,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
2026,15,51001311,Força Cigana 7 Covas,124.7001953125,1074.8984375,105436,Carrascal,Jorge Andrés Carrascal Guardo,4,262,12.2,15.2,"{""DS"":3,""FC"":1,""FT"":1,""G"":1}",NAO,SIM,NAO,3,186.44,0,https://api.cartolafc.globo.com/time/id/51001311/15,2026-08-30T13:04:13Z,
