ANO,RODADA,MITO_TIME_ID,MITO_NOME_TIME,MITO_PONTOS,MITO_PONTOS_CAMPEONATO,ATLETA_ID,APELIDO,NOME,POSICAO_ID,CLUBE_ID,PRECO,PONTOS_ATLETA,SCOUTS,CAPITAO,RESERVA,TECNICO,ESQUEMA_ID,PATRIMONIO,VALOR_TIME,FONTE,CAPTURADO_EM,RAW_JSON_ATLETA
2026,4,48921295,100chance Hari ,148.5498046875,379.640625,70666,Marllon,Marllon Gonçalves Jerônimo Borges,3,364,6.1,4.2,"{""DS"":2,""FC"":1,""FS"":3}",NAO,NAO,NAO,3,141.71,0,https://api.cartolafc.globo.com/time/id/48921295/4,2026-08-30T13:04:13Z,
2026,4,48921295,100chance Hari ,148.5498046875,379.640625,39850,Vagner Mancini,Vagner Carmo Mancini,6,280,7.3,3.15,{},NAO,NAO,SIM,3,141.71,0,https://api.cartolafc.globo.com/time/id/48921295/4,2026-08-30T13:04:13Z,
2026,4,48921295,100chance Hari ,148.5498046875,379.640625,141451,Allan,Allan Andrade Elias,4,275,16.47,17.1,"{""DS"":5,""FC"":1,""FS"":4,""G"":1,""I"":1}",NAO,NAO,NAO,3,141.71,0,https://api.cartolafc.globo.com/time/id/48921295/4,2026-08-30T13:04:13Z,
2026,4,48921295,100chance Hari ,148.5498046875,379.640625,94968,Juninho Capixaba,Luis Antônio da Rocha Júnior,2,280,15.26,14.7,"{""DS"":4,""FC"":1,""FS"":2,""G"":1}",NAO,NAO,NAO,3,141.71,0,https://api.cartolafc.globo.com/time/id/48921295/4,2026-08-30T13:04:13Z,
2026,4,48921295,100chance Hari ,148.5498046875,379.640625,91706,Marlon,Marlon Rodrigues Xavier,2,284,10.91,17.9,"{""A"":1,""DS"":2,""FC"":2,""FD"":1,""FF"":1,""FS"":1,""G"":1}",NAO,NAO,NAO,3,141.71,0,https://api.cartolafc.globo.com/time/id/48921295/4,2026-08-30T13:04:13Z,
2026,4,48921295,100chance Hari ,148.5498046875,379.640625,130048,Noriega,Erick Carlos Noriega Loret de Mola,3,284,9.58,15.7,"{""A"":1,""DS"":2,""FC"":1,""G"":1}",NAO,NAO,NAO,3,141.71,0,https://api.cartolafc.globo.com/time/id/48921295/4,2026-08-30T13:04:13Z,
2026,4,48921295,100chance Hari ,148.5498046875,379.640625,82730,Marcelo Rangel,Marcelo Rangel da Rosa,1,364,4.92,2.9,"{""DE"":3,""GS"":1}",NAO,NAO,NAO,3,141.71,0,https://api.cartolafc.globo.com/time/id/48921295/4,2026-08-30T13:04:13Z,
2026,4,48921295,100chance Hari ,148.5498046875,379.640625,122485,Barros,Cauan Lucas Barros da Luz,4,267,11.7,17,"{""DS"":4,""FC"":1,""FF"":1,""FS"":5,""G"":1}",NAO,NAO,NAO,3,141.71,0,https://api.cartolafc.globo.com/time/id/48921295/4,2026-08-30T13:04:13Z,
2026,4,48921295,100chance Hari ,148.5498046875,379.640625,116706,Andrés Gómez,Carlos Andrés Gómez Hinestroza,5,267,11.41,5.6,"{""A"":1,""FC"":2,""FF"":1,""FS"":1,""I"":1}",NAO,NAO,NAO,3,141.71,0,https://api.cartolafc.globo.com/time/id/48921295/4,2026-08-30T13:04:13Z,
2026,4,48921295,100chance Hari ,148.5498046875,379.640625,123648,Lucas Ronier,Lucas Ronier Vieira Pires,5,294,10.11,11.4,"{""DS"":1,""FD"":1,""FF"":4,""FS"":5,""FT"":1}",NAO,NAO,NAO,3,141.71,0,https://api.cartolafc.globo.com/time/id/48921295/4,2026-08-30T13:04:13Z,
