ANO,RODADA,MITO_TIME_ID,MITO_NOME_TIME,MITO_PONTOS,MITO_PONTOS_CAMPEONATO,ATLETA_ID,APELIDO,NOME,POSICAO_ID,CLUBE_ID,PRECO,PONTOS_ATLETA,SCOUTS,CAPITAO,RESERVA,TECNICO,ESQUEMA_ID,PATRIMONIO,VALOR_TIME,FONTE,CAPTURADO_EM,RAW_JSON_ATLETA
2026,13,14013757,Tigres LHP,164.91015625,1015.28125,102928,Canobbio,Agustín Canobbio Graviz,5,266,11.72,10.4,"{""DS"":4,""FD"":3,""FF"":1}",NAO,NAO,NAO,3,153.12,0,https://api.cartolafc.globo.com/time/id/14013757/13,2026-08-30T13:04:13Z,
2026,13,14013757,Tigres LHP,164.91015625,1015.28125,107093,Luciano Juba,Luciano Batista da Silva Júnior,2,265,11.9,10.5,"{""DS"":1,""FS"":2,""G"":1}",NAO,NAO,NAO,3,153.12,0,https://api.cartolafc.globo.com/time/id/14013757/13,2026-08-30T13:04:13Z,
2026,13,14013757,Tigres LHP,164.91015625,1015.28125,78248,Gustavo Henrique,Gustavo Henrique Vernes,3,264,9.28,6.1,"{""CA"":1,""FC"":1,""FD"":2,""SG"":1}",NAO,NAO,NAO,3,153.12,0,https://api.cartolafc.globo.com/time/id/14013757/13,2026-08-30T13:04:13Z,
2026,13,14013757,Tigres LHP,164.91015625,1015.28125,105531,Matheus Bidu,Matheus Lima Beltrão Oliveira Valin,2,264,14.92,17.8,"{""DS"":2,""FF"":1,""FS"":2,""G"":1,""SG"":1}",NAO,NAO,NAO,3,153.12,0,https://api.cartolafc.globo.com/time/id/14013757/13,2026-08-30T13:04:13Z,
2026,13,14013757,Tigres LHP,164.91015625,1015.28125,107231,Danilo,Danilo dos Santos de Oliveira,4,263,17.71,19.9,"{""DS"":6,""FD"":2,""FS"":1,""G"":1}",NAO,NAO,NAO,3,153.12,0,https://api.cartolafc.globo.com/time/id/14013757/13,2026-08-30T13:04:13Z,
2026,13,14013757,Tigres LHP,164.91015625,1015.28125,121823,Kauê,Kauê Vinicius de Souza Camargo,1,264,6.41,13.6,"{""CA"":1,""DE"":7,""FS"":1,""SG"":1}",NAO,NAO,NAO,3,153.12,0,https://api.cartolafc.globo.com/time/id/14013757/13,2026-08-30T13:04:13Z,
2026,13,14013757,Tigres LHP,164.91015625,1015.28125,69208,Gabriel Paulista,Gabriel Armando de Abreu,3,264,10.7,8,"{""DS"":2,""SG"":1}",NAO,NAO,NAO,3,153.12,0,https://api.cartolafc.globo.com/time/id/14013757/13,2026-08-30T13:04:13Z,
2026,13,14013757,Tigres LHP,164.91015625,1015.28125,98672,Savarino,Jefferson David Savarino Quintero,4,266,11.21,13.1,"{""FD"":1,""FF"":3,""FS"":3,""G"":1}",NAO,NAO,NAO,3,153.12,0,https://api.cartolafc.globo.com/time/id/14013757/13,2026-08-30T13:04:13Z,
2026,13,14013757,Tigres LHP,164.91015625,1015.28125,143193,Viveros,Kevin Stiven Viveros Rodallega,5,293,13.97,21.1,"{""DS"":1,""FC"":1,""FD"":2,""FS"":1,""G"":2,""PS"":1}",SIM,NAO,NAO,3,153.12,0,https://api.cartolafc.globo.com/time/id/14013757/13,2026-08-30T13:04:13Z,
2026,13,14013757,Tigres LHP,164.91015625,1015.28125,72391,Fernando Diniz,Fernando Diniz Silva,6,264,8.99,8.06,"{""V"":1}",NAO,NAO,SIM,3,153.12,0,https://api.cartolafc.globo.com/time/id/14013757/13,2026-08-30T13:04:13Z,
